id,file,symbol_or_kind,lines,match_count,snippet,current_mechanism,current_role_ownership_assumption,target_capability,server_enforcement,rls_enforcement,ui_enforcement,owner_user_id_class,migration_dependency,wave,risk,test_required,scope
0001,app/(app)/booking-journey/payments-actions.ts,markLineItemPaid,120,1,"const result = await markLineItemPaid(deposit.id, deposit.schedule_id, {",markLineItemPaid service,venue membership; no role gate,payments.mark_paid,Y,N,N,,staff narrowing / finance caps,7,M,Y,venue_team
0002,app/(app)/clients/[id]/floor-plans/[planId]/page.tsx,canEditFloorPlans,35,1,const canEdit = canEditFloorPlans(role);,app role helper O/M/C,owner|manager|coordinator,events.floor_plans,N,N,Y,,staff narrowing / finance caps,7,M,Y,venue_team
0003,app/(app)/clients/[id]/floor-plans/[planId]/page.tsx,getCurrentUserRole,30,1,"getCurrentUserRole(),",app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,events.floor_plans,partial,N,Y,,staff narrowing / finance caps,7,H,Y,venue_team
0004,app/(app)/clients/[id]/page.tsx,canDeleteFloorPlanRows,"215,286",2,canDelete={canDeleteFloorPlanRows(staffRole)},app role helper O/M,owner|manager,events.floor_plans,N,N,Y,,remaining role-string retirement,9,M,Y,venue_team
0005,app/(app)/clients/[id]/page.tsx,canEditFloorPlans,"214,285",2,canEdit={canEditFloorPlans(staffRole)},app role helper O/M/C,owner|manager|coordinator,events.floor_plans,N,N,Y,,remaining role-string retirement,9,M,Y,venue_team
0006,app/(app)/clients/[id]/page.tsx,getCurrentUserRole,"129,284",2,"getCurrentUserRole(),",app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,LEGACY_ROLE_RESOLUTION,partial,N,Y,,remaining role-string retirement,9,H,Y,venue_team
0007,app/(app)/events/[id]/edit/page.tsx,getCurrentUserRole,25,1,"getEvent(id), getSpaces(), getCapacityRules(), getCurrentUserRole(),",app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,LEGACY_ROLE_RESOLUTION,partial,N,Y,,remaining role-string retirement,9,H,Y,venue_team
0008,app/(app)/events/[id]/edit/page.tsx,role_eq_manager,28,1,"const canEditBookingDate = role === ""owner"" || role === ""manager"";",role-string comparison,role===manager,LEGACY_ROLE_STRING,N,N,Y,,remaining role-string retirement,9,M,Y,venue_team
0009,app/(app)/events/[id]/edit/page.tsx,role_eq_owner,28,1,"const canEditBookingDate = role === ""owner"" || role === ""manager"";",role-string comparison,role===owner,LEGACY_ROLE_STRING,N,N,Y,,remaining role-string retirement,9,M,Y,venue_team
0010,app/(app)/events/[id]/floor-plans/[planId]/page.tsx,canEditFloorPlans,42,1,const canEdit = canEditFloorPlans(role);,app role helper O/M/C,owner|manager|coordinator,events.floor_plans,N,N,Y,,staff narrowing / finance caps,7,M,Y,venue_team
0011,app/(app)/events/[id]/floor-plans/[planId]/page.tsx,getCurrentUserRole,38,1,"getCurrentUserRole(),",app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,events.floor_plans,partial,N,Y,,staff narrowing / finance caps,7,H,Y,venue_team
0012,app/(app)/events/[id]/seating-print/page.tsx,canViewSeating,29,1,if (!canViewSeating(role)) notFound();,app role helper O/M/C/S,owner|manager|coordinator|staff,events.floor_plans,N,N,Y,,staff narrowing / finance caps,7,M,Y,venue_team
0013,app/(app)/events/[id]/seating-print/page.tsx,getCurrentUserRole,28,1,const role = await getCurrentUserRole();,app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,events.floor_plans,partial,N,Y,,staff narrowing / finance caps,7,H,Y,venue_team
0014,app/(app)/events/[id]/seating/page.tsx,canViewSeating,33,1,const canView = canViewSeating(role);,app role helper O/M/C/S,owner|manager|coordinator|staff,events.floor_plans,N,N,Y,,staff narrowing / finance caps,7,M,Y,venue_team
0015,app/(app)/events/[id]/seating/page.tsx,getCurrentUserRole,32,1,const role = await getCurrentUserRole();,app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,events.floor_plans,partial,N,Y,,staff narrowing / finance caps,7,H,Y,venue_team
0016,app/(app)/events/[id]/seating/page.tsx,role_eq_coordinator,101,1,"canAssist={role === ""owner"" || role === ""manager"" || role === ""coordinator""}",role-string comparison,see snippet,events.floor_plans,N,N,Y,,staff narrowing / finance caps,7,M,Y,venue_team
0017,app/(app)/events/[id]/seating/page.tsx,role_eq_manager,101,1,"canAssist={role === ""owner"" || role === ""manager"" || role === ""coordinator""}",role-string comparison,role===manager,events.floor_plans,N,N,Y,,staff narrowing / finance caps,7,M,Y,venue_team
0018,app/(app)/events/[id]/seating/page.tsx,role_eq_owner,101,1,"canAssist={role === ""owner"" || role === ""manager"" || role === ""coordinator""}",role-string comparison,role===owner,events.floor_plans,N,N,Y,,staff narrowing / finance caps,7,M,Y,venue_team
0019,app/(app)/layout.tsx,getCurrentUserRole,111,1,const staffRole = await getCurrentUserRole();,app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,LEGACY_ROLE_RESOLUTION,N,N,N,,remaining role-string retirement,9,H,Y,venue_team
0020,app/(app)/library/floor-plan-templates/[id]/page.tsx,canEditFloorPlans,61,1,readOnly={!canEditFloorPlans(role)},app role helper O/M/C,owner|manager|coordinator,events.floor_plans,N,N,Y,,staff narrowing / finance caps,7,M,Y,venue_team
0021,app/(app)/library/floor-plan-templates/[id]/page.tsx,getCurrentUserRole,28,1,"getCurrentUserRole(),",app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,events.floor_plans,partial,N,Y,,staff narrowing / finance caps,7,H,Y,venue_team
0022,app/(app)/library/floor-plan-templates/page.tsx,canDeleteFloorPlanRows,34,1,canDelete={canDeleteFloorPlanRows(role)},app role helper O/M,owner|manager,events.floor_plans,N,N,Y,,staff narrowing / finance caps,7,M,Y,venue_team
0023,app/(app)/library/floor-plan-templates/page.tsx,canEditFloorPlans,33,1,canEdit={canEditFloorPlans(role)},app role helper O/M/C,owner|manager|coordinator,events.floor_plans,N,N,Y,,staff narrowing / finance caps,7,M,Y,venue_team
0024,app/(app)/library/floor-plan-templates/page.tsx,getCurrentUserRole,20,1,"getTemplatesForLibrary(), getSpaces(), getCurrentVenue(), getEvents(), getCurrentUserRole(),",app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,events.floor_plans,partial,N,Y,,staff narrowing / finance caps,7,H,Y,venue_team
0025,app/(app)/payments/[id]/actions.ts,cancelLineItem_,65,1,const result = await cancelLineItem_(itemId);,cancelLineItem_ service,venue membership; no role gate,payments.cancel_unpaid,Y,N,N,,staff narrowing / finance caps,7,M,Y,venue_team
0026,app/(app)/payments/[id]/actions.ts,markLineItemPaid,42,1,"const result = await markLineItemPaid(itemId, scheduleId, input);",markLineItemPaid service,venue membership; no role gate,payments.mark_paid,Y,N,N,,staff narrowing / finance caps,7,M,Y,venue_team
0027,app/(app)/payments/[id]/actions.ts,refundLineItem_,82,1,"const result = await refundLineItem_(itemId, scheduleId, refundAmount, reason);",refundLineItem_ service,owner only,payments.refund,Y,N,N,,sensitive capability conversion,6,H,Y,venue_team
0028,app/(app)/payments/[id]/page.tsx,getCurrentUserRole,21,1,"getCurrentUserRole(),",app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,LEGACY_ROLE_RESOLUTION,partial,N,Y,,remaining role-string retirement,9,H,Y,venue_team
0029,app/(app)/reporting/saved/[id]/page.tsx,getCurrentUserRole,20,1,"getSavedReport(id), getScheduleForReport(id), getCurrentUserRole(), createClient(),",app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,reports.view|reports.schedule,partial,N,Y,,remaining role-string retirement,9,H,Y,venue_team
0030,app/(app)/reporting/saved/[id]/page.tsx,role_eq_manager,24,1,"const canSchedule = role === ""owner"" || role === ""manager"";",role-string comparison,role===manager,reports.view|reports.schedule,N,N,Y,,remaining role-string retirement,9,M,Y,venue_team
0031,app/(app)/reporting/saved/[id]/page.tsx,role_eq_owner,24,1,"const canSchedule = role === ""owner"" || role === ""manager"";",role-string comparison,role===owner,reports.view|reports.schedule,N,N,Y,,remaining role-string retirement,9,M,Y,venue_team
0032,app/(app)/settings/actions.ts,exportVenueData,18,1,return exportVenueData();,exportVenueData service,any member of current venue,data.export,Y,N,N,,sensitive capability conversion,6,H,Y,venue_team
0033,app/(app)/settings/availability/page.tsx,getCurrentUserRole,34,1,"getCurrentUserRole(),",app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,settings.availability,partial,N,Y,,remaining role-string retirement,9,H,Y,venue_team
0034,app/(app)/settings/availability/page.tsx,role_eq_manager,39,1,"const canEditCatalog = role === ""owner"" || role === ""manager"";",role-string comparison,role===manager,settings.availability,N,N,Y,,remaining role-string retirement,9,M,Y,venue_team
0035,app/(app)/settings/availability/page.tsx,role_eq_owner,39,1,"const canEditCatalog = role === ""owner"" || role === ""manager"";",role-string comparison,role===owner,settings.availability,N,N,Y,,remaining role-string retirement,9,M,Y,venue_team
0036,app/(app)/settings/commercial-booking-actions.ts,getCurrentUserRole,17,1,const role = await getCurrentUserRole();,app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,settings.availability,Y,N,N,,remaining role-string retirement,9,H,Y,venue_team
0037,app/(app)/settings/commercial-booking-actions.ts,role_ne_owner,18,1,"if (role !== ""owner"" && role !== ""manager"") {",role-string comparison,see snippet,settings.availability,Y,N,N,,remaining role-string retirement,9,M,Y,venue_team
0038,app/(app)/settings/leads/page.tsx,getCurrentUserRole,27,1,"getCurrentVenue(), getIntakeHealthSummary(), getEmailIntakeStatus(), getTourSettings(), getInquiryFormSettings(), getCurrentUserRole(),",app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,LEGACY_ROLE_RESOLUTION,partial,N,Y,,remaining role-string retirement,9,H,Y,venue_team
0039,app/(app)/settings/leads/page.tsx,role_eq_manager,29,1,"const canEditInquiryForm = role === ""owner"" || role === ""manager"";",role-string comparison,role===manager,LEGACY_ROLE_STRING,N,N,Y,,remaining role-string retirement,9,M,Y,venue_team
0040,app/(app)/settings/leads/page.tsx,role_eq_owner,29,1,"const canEditInquiryForm = role === ""owner"" || role === ""manager"";",role-string comparison,role===owner,LEGACY_ROLE_STRING,N,N,Y,,remaining role-string retirement,9,M,Y,venue_team
0041,app/(app)/settings/team/actions.ts,StaffRole,"9,29",2,"import type { StaffInput, TeamActionResult, StaffRole } from ""@/lib/team/types"";",StaffRole type/usage,see snippet,team.invite|team.change_access|team.remove,Y,N,N,,sensitive capability conversion,6,M,Y,venue_team
0042,app/(app)/setup-hub/lead-capture/page.tsx,getCurrentUserRole,38,1,"getCurrentUserRole(),",app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,LEGACY_ROLE_RESOLUTION,partial,N,Y,,remaining role-string retirement,9,H,Y,venue_team
0043,app/(app)/setup-hub/lead-capture/page.tsx,role_eq_manager,50,1,"const canEditInquiryForm = role === ""owner"" || role === ""manager"";",role-string comparison,role===manager,LEGACY_ROLE_STRING,N,N,Y,,remaining role-string retirement,9,M,Y,venue_team
0044,app/(app)/setup-hub/lead-capture/page.tsx,role_eq_owner,50,1,"const canEditInquiryForm = role === ""owner"" || role === ""manager"";",role-string comparison,role===owner,LEGACY_ROLE_STRING,N,N,Y,,remaining role-string retirement,9,M,Y,venue_team
0045,app/(app)/tasks/page.tsx,getCurrentUserRole,100,1,"getCurrentUserRole(),",app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,LEGACY_ROLE_RESOLUTION,partial,N,Y,,remaining role-string retirement,9,H,Y,venue_team
0046,app/(app)/tours/page.tsx,canRefundTourFee,53,1,<PaidUnbookedProtectionList requests={unresolvedProtection} canRefund={canRefundTourFee(role)} />,app role helper owner|manager,owner|manager,payments.refund,N,N,Y,,sensitive capability conversion,6,H,Y,venue_team
0047,app/(app)/tours/page.tsx,getCurrentUserRole,23,1,"getCurrentUserRole(),",app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,LEGACY_ROLE_RESOLUTION,partial,N,Y,,remaining role-string retirement,9,H,Y,venue_team
